dim1;dim2;class
-910.5358804864345;3137.164632937941;1
-1418.2131360978053;2872.204437313898;8
2460.4107625427623;-3233.0573695073776;9
1090.093671720787;-409.9714212920801;5
-3348.7269706457696;-2519.7038617283442;6
951.075458102114;1861.4411529884503;2
1231.657849498892;-36.50862174298646;7
2086.8547157723597;-708.2055898911301;7
766.5215057248108;1489.9033753516192;1
-1165.3905715963317;16.222612062960998;6
-982.6182151364081;573.4366911078528;5
1209.6187678129156;-1045.1024376869002;5
-3649.8904263112854;557.3695200855635;8
-307.9859996306181;3440.2077489778744;2
799.9599658824692;-103.56711654407819;5
300.57757171183624;2209.843084825708;8
-1930.5716506136457;-1444.783975661065;0
150.60727155708204;2786.6552936171697;8
2160.1861959194625;-3698.423066230148;4
-4053.4922517546815;-803.0962432071375;0
865.083625779059;1448.0098464932469;1
-302.64368696028447;3486.181724635607;8
-3273.2130332432307;-873.1238323479832;0
-2310.770298563102;318.9072246996566;3
688.1745567174387;528.2836880745259;1
-35.27056948708315;258.3096515678447;8
-3803.7481575649845;839.6877290869152;3
561.9480937229985;2927.207529822129;1
-3904.515289927258;-1365.323603827261;5
-4593.150458697321;-2226.8614868636096;0
575.0684820401677;1015.9414395912295;1
1313.367497306545;-3645.497112065175;4
-2183.5072081994476;2334.96519171537;3
-4510.180065755204;-1202.4321087586636;0
2895.832227606378;-3268.5501617029204;7
-550.0940047822753;1837.6128973434395;8
-792.0301701161727;-844.9892115383843;5
2436.916714678298;-3042.4004365978626;9
-3443.3307899131646;-101.24121471357081;0
-527.5600690478319;1515.438799398932;3
2250.0945437382547;-586.265137194755;8
3072.357125792338;-871.772332520161;9
542.1722392144601;3805.839507288766;1
783.8152323348943;667.7301252397137;5
-2127.4193409546915;-1828.5115610730963;5
3160.778792146018;-2184.8629585899075;4
2169.399791563614;34.928553996274985;7
-160.20785295446228;107.1846970868265;2
-4003.271583815414;-598.9171106775019;0
-572.154425783077;1667.9045542360523;8
254.00616744484438;1722.4787427051938;8
1834.5398540277617;-4213.132527850511;9
2262.5189245789306;-1340.3889101252755;7
3181.5393602708755;1944.6161542268378;4
-1140.127167161692;3721.8142081988;2
-1105.935151408291;1234.2714570463654;8
-2027.2909272371126;-140.598235755243;5
-3596.931811918029;-242.6893842739443;0
3139.0184995431164;-859.051954768177;9
647.3172199432845;2966.5969601083902;1
2089.840518572895;-3574.3596368592875;4
-3178.342110526656;-2034.0125161900346;0
-2125.390641236807;-2446.747133095555;0
-5546.717672058833;-2902.1916152884055;0
-663.7562134314742;-1248.0654581049398;5
-584.1920494657962;2113.1663643784336;8
2721.8646235397814;-721.7155325274297;9
-4586.975038509938;-903.5706546920999;3
1795.5319346416334;-3379.7345088393286;4
354.5581007589939;117.46892519886302;1
3047.4995016287826;-2535.0998752202836;7
1506.8160309851733;1949.220591562701;2
827.195695793189;2864.624926119465;8
2712.6262206672786;373.31728240853465;4
-3280.7563860747514;-292.70612369596955;6
3360.7514245767834;678.9319628534749;7
2057.536397483277;512.594353354943;9
-2024.8572689513069;-1360.104846213351;5
-1339.5907081841683;1407.8525204849275;3
567.9669403028022;1999.6127780268728;1
-2184.8661904285977;1157.4245079750992;6
-2158.3317997084278;813.693546852708;0
-3269.2647333032205;-971.3909737660821;5
748.4776755609713;1137.5710275546355;1
-3864.6666531981987;-732.8078133148725;6
-2598.079132482269;417.8602730234353;5
1426.2035183411563;2166.475220050765;8
1309.1543365708783;1074.247098069955;7
941.1709385565962;1157.9064071545406;7
-2911.9134415369927;-3806.160514171371;6
769.7626735899896;1102.5287916534314;1
3196.3614152493474;-173.12490433809515;7
573.5758529271518;2544.665531588445;1
140.59525512183765;2944.6695954894394;2
434.4599645403972;-87.73845757848056;1
-2617.1151382370203;-2080.686675405262;0
2487.2856595317953;-2589.3544593942106;4
219.21413201332288;2559.0759203424655;8
958.7151157240647;-127.58470051645473;9
-5429.203195660492;-3372.2140899083397;0
-2482.673892404913;-322.9034170421017;6
-5173.272032032461;-3278.1666929542753;0
-1377.885376140028;929.1832453467691;3
478.67742980012736;539.6784944898773;5
-2820.1437000608107;-4361.380201553726;6
-3218.242647249098;1580.060032728951;3
2365.749375271648;-3089.061082292737;9
-148.09096907709628;1389.0564723039954;8
2674.1577007909723;-2767.6271449264395;4
-2077.999875385787;-1574.821788223843;6
987.8273521328924;2692.369213917116;1
-868.5020984726364;-127.29680879970257;8
2944.536466224942;-3907.900387958367;9
-6055.762658604864;-1521.7194095386667;0
642.9707457955656;270.9202755995759;1
1734.3334320830113;-746.2560990662014;9
3032.7990543982387;-764.7098363395875;9
1619.3122657465472;-4259.7865483900605;9
2599.104946843416;-1922.997163409032;9
-2694.2515889056695;-185.64550734997954;3
-952.349143591179;3813.620179487827;2
