dim1;dim2;class
35.97492682194997;583.4650955345963;1
121.7084267679816;429.5804711368815;8
-109.54943632657776;-603.2147500006593;9
-392.32352206745037;-271.67156422665926;5
376.14479376936606;-148.95707730508684;6
-915.905992119864;342.8177629574377;2
-124.82006009401499;-458.1252864682369;7
-150.1496134992945;-716.8312285780218;7
-996.2790976896102;297.82281463616283;1
9.663351221230336;157.54670369600817;6
544.4833737236404;-17.79881677570523;5
-54.01545492278281;-447.47967362769083;5
592.4979770377582;344.4290194854356;8
-139.2323038644099;808.8694969428442;2
-527.6806550048062;-214.76459790793004;5
-474.2842841948409;112.48748290454249;8
215.7645140610216;220.99420100772502;0
-77.95031091016321;310.0420433850241;8
175.94447100119942;-680.0624720096926;4
890.46071674024;412.3150142343168;0
-966.4659076060686;309.70998850506965;1
-82.98889776196081;639.6265290249562;8
562.689593983006;52.992676621980394;0
95.50671051553493;502.86445697385096;3
-1001.5140700292161;145.74937686836645;1
-353.49266711253944;-61.6129231546228;8
794.7473166496777;1044.5114660732036;3
-1037.4831584195942;580.7792949797267;1
1429.9823233918146;501.09176039828486;5
1318.601917638927;415.93529065486194;0
-842.2284378930876;318.70597474178857;1
389.8681447630519;-563.3511115190142;4
33.041216761790835;709.478420298255;3
1479.0822789204697;273.06997075170216;0
247.0311497730479;-672.7728250243606;7
-533.4837420825933;351.39575307670714;8
441.35657058050913;154.0314847994561;5
-20.313626903717335;-638.0331646334042;9
1623.7945886155587;-11.050378478695858;0
-487.45781807418325;363.3853100269597;3
439.0081172840884;-301.0198994770788;8
-100.36492554085886;-727.901961412305;9
-725.576199295219;690.0295551745044;1
-497.6329732462342;73.64334947507943;5
527.0216588814897;91.32364457578004;5
-76.04650516181827;-968.8615616724078;4
-724.761725005563;-285.24844630072204;7
508.5528800535026;135.24536991336763;2
712.2888527446542;482.32601855748794;0
-172.8955166091044;310.37976048863123;8
-499.5213448653279;344.2635666064756;8
538.8142637753675;-726.7506382343532;9
-55.085542884696494;-475.3361769418987;7
-61.346232246441026;-310.17439345155094;4
-116.42554456710015;1148.4883356429614;2
-55.280920546033286;276.79530729669455;8
639.7997916887532;561.1401996319654;5
843.0742350970415;471.3979120980085;0
-81.14843560084249;-988.6195698293105;9
-919.4724321769299;596.7652265853403;1
-123.99624370217022;-717.4311798291991;4
700.9903262949225;127.57391378235916;0
335.18602201047327;-135.79413510804923;0
1246.98303351565;322.14047848556663;0
536.0808375684594;-179.6018047480088;5
-153.70222302912006;135.30282781979807;8
-417.9179085546316;-537.1304809906659;9
743.024796402702;381.4174406494967;3
384.81703346483675;-599.1359344264893;4
-848.4730516552471;88.15992923525053;1
50.1585255385395;-1118.4733422385423;7
-192.15142278104315;173.98360527603472;2
-251.6777721529461;364.68908672567835;8
-433.23184415464493;-413.3205059276014;4
515.8843074697589;445.8153560250229;6
-455.4172798473832;-215.33905688879767;7
-461.87833396041515;-490.0644177046678;9
721.0881720198748;288.22040783892334;5
9.254149767506316;488.0470159231165;3
-965.242730796007;362.1050575893367;1
98.38837471405027;362.7124469630884;6
242.21088177029932;83.67756475089865;0
602.1801219459159;578.1816481372202;5
-558.8444998891713;226.77763082473348;1
1117.9688881062043;515.2211435223953;6
415.4601862227144;868.3508829819327;5
-202.55483108530694;103.5774751039181;8
-707.3219604179213;-35.60306457895466;7
-311.45980469184116;-166.34575911392963;7
1017.7403696776346;-295.82603763675024;6
-1057.1696171950466;309.7374971551039;1
-406.3212838336716;-862.990613126615;7
-990.2289950505617;563.8878349957789;1
-15.747988452920668;328.4369747967464;2
-682.9259584728811;-51.04558696697898;1
471.94972450222616;150.08715790740533;0
-289.97257939512474;-659.251902452456;4
336.76686377321283;144.70646688791118;8
-720.8661327641381;-96.84790543911076;9
1443.2639085618548;199.3490206398863;0
-117.73667095983984;-65.76378485261118;6
1203.1582359972974;578.9635385527154;0
396.19299824079576;346.1492677702988;3
-193.3359581751922;228.71819042023;5
947.0823082449087;-295.80556989359917;6
347.85218074948415;736.7059717855708;3
29.519058528688852;-884.3916524441794;9
318.71824091633346;328.6758139939472;8
135.17461217395856;-477.66225257275937;4
283.424895751225;-26.542879193470487;6
-974.4140721768147;538.2044181788985;1
1069.5157876620024;-209.91807544666074;8
804.4739595427517;-849.6356696319327;9
1412.3621954294063;464.6305337407127;0
-866.6842903541533;81.83554030183818;1
-436.56251389605313;-430.0987069137801;9
-282.07721926779095;-714.3164772200133;9
328.6817737638944;-695.8323500138777;9
55.53904773513091;-757.1176676076586;9
310.6954892965646;1006.5193561697089;3
-382.17469509909665;827.6676384773142;2
-186.99130976870345;-596.4518397118645;4
-314.48551817474345;-528.9687063687861;4
122.01124006028577;-233.49532244821043;6
663.9824389421915;438.93803848228464;0
-211.9453117442755;-249.69915276420411;5
-47.27256363545544;392.21199315137284;3
428.3730660667982;205.282993377411;8
-254.54428770875202;422.16048376645125;8
-204.2431172953775;354.23861113464085;5
-937.6893230180127;755.7235960545216;1
-945.6768628027633;339.3947119988053;1
1568.5660398738844;377.39692012648334;0
275.1061732711619;-858.4556795487434;4
-843.9029569263182;25.15184127477415;1
490.4733900930613;-613.0598206251224;4
-165.24551594429826;462.2078321469913;2
-314.0230774281922;-737.8262709222911;9
246.91851029051912;34.442094163729244;3
-366.2813983239709;-452.2445474194823;9
473.587977241885;278.56630664603415;2
-53.43236191162171;-851.0030190686476;4
79.77533277929615;-501.96589089056243;9
598.5864635652698;-685.599253165542;6
556.8007295153699;609.11777245061;0
-326.2266595810419;-450.684178200453;7
-61.839031144510344;449.7464389355059;8
-604.6513206060845;24.10493127740765;8
-414.68527135476654;-485.5844913130513;9
536.1937356710699;408.662450914429;8
1533.7056241695934;34.60576679314907;0
-109.37561814900677;-583.7028203368196;7
668.3180379989733;468.0967406616122;0
-1036.9465885484221;183.70034611033682;1
-102.54022331161876;363.85422798988725;6
284.2982450448574;-229.8047884742001;8
53.96998747992992;237.87779519302023;6
12.970869436131371;-328.8527516810794;9
601.051791236099;-280.02158753957985;6
-794.4597957916528;-74.42304581064444;7
-292.84630724776844;-275.1694573803498;9
-277.2853072706317;309.550980817212;6
-726.4957851597143;727.807610621635;1
-996.7501760908119;655.4631472862762;1
74.42979186957712;157.0690354480126;5
-1016.0003268055655;436.0811806943013;1
90.48011180816744;-523.3277187330496;6
1421.3313611948383;512.6672977946182;0
354.15920043391725;209.78280717122203;5
-106.1456171150176;-180.6624216768112;6
78.33465430850268;-239.47165609128982;8
696.7795475123239;395.27316896001275;0
74.48519883809428;-781.3608622218612;9
190.66273318737126;-202.79179107415317;3
-402.01668910590485;-84.5917439490403;9
335.6128001387285;42.65216403059989;6
746.7951232609136;65.98059586076712;0
894.4120172276957;101.4115122000687;0
-604.0359998454799;77.8231827369724;8
393.40514413913303;-98.44299264418231;6
721.9355916531356;853.555317467753;3
-518.6194292882217;-633.7295628318429;7
-987.0442560720508;243.5265142848353;1
-264.36424384429995;246.26060211478529;8
-93.18588418391303;221.20094373818984;3
261.44427308291677;-1109.6841027386683;9
923.951811456131;543.8417045102829;0
-625.2043838185956;-506.3909573756793;9
-95.11645835075899;53.84134212808551;5
-413.5633476102088;-290.3882670976581;4
-204.27473973384147;372.79004221524207;8
-329.61290337503675;15.812459719402284;8
64.89647997251886;294.3735082687494;2
157.6754542099059;448.1059291580755;3
207.1548451882998;-83.97832735651342;3
-200.35410530769462;-867.9913923296494;9
447.4202790636271;-205.2913078155649;5
-150.67447398414035;105.92145725443598;2
-10.370364344444864;524.3679052467588;8
107.9477163019296;1072.118108158181;2
798.0246879521792;237.714126483418;8
353.28578515753475;-321.988330418505;4
225.15851294431758;-137.9537439975622;5
-736.9049971558227;-179.22289926423613;1
203.71608951808696;-679.0862114866289;5
283.64546181066794;15.963953661203;2
-923.3389280829198;361.07972826265774;1
1073.6012374874692;547.2208148933225;2
211.42315485187308;197.8485202076969;8
380.977375565808;673.1046105634501;6
-223.80902553899554;324.69624524007196;6
-43.55165295916714;-591.2808211572573;4
-452.43698676823544;392.4234433762264;8
-542.0683856296831;-412.15090032520686;4
381.03020406055043;-571.7858380939188;6
142.35369029031185;879.5346503068982;3
-909.4140908003446;144.40037886240745;1
-982.8660350252849;365.48845031385906;1
-565.1691325096093;569.8403235133809;6
-307.0359357941102;-540.2039769305738;4
162.58647670278472;64.739334443633;5
1264.7157131644549;482.25055297739567;8
-215.6756882658566;252.87493247942834;6
729.7749893074058;123.98968195500898;0
0.4209748351227672;628.4782012198283;2
305.06933108119193;393.97754408386027;2
-455.90759542601165;-13.341310836596275;8
286.58850768289494;-69.56264455423828;8
-297.4552266424978;-439.4612395070602;9
1152.328098390064;558.2768978589786;0
-923.4591010008608;196.29760233304154;1
-414.1530658589529;-315.1079276360464;7
-116.13242200068595;-118.98288926854573;6
-403.9770761845384;-428.73330666711377;7
-145.38751969851188;-755.9738454758839;4
142.39131914515127;113.21715322108554;8
-974.0069905246553;587.3820065751676;1
950.2919526198518;-449.6172044974022;4
430.4055447630045;14.391205977612625;2
-2.0469262740386323;319.59760025138024;6
139.3374174318588;565.6345867530908;2
-248.62034267583604;751.5736276547634;3
-567.6323858063386;96.5877039241683;5
637.243986266023;64.54030621423004;6
-126.42054815252294;-380.7167382449177;4
-435.2090234635754;-749.2392222047298;9
-707.4810427892794;-83.20773816003934;7
-600.0937911505494;-95.39599925739532;9
747.8809430840893;548.1939944199981;3
-603.8054004990386;21.687534586101414;4
74.6617166426515;-762.9991282854327;7
-453.60553914264085;-238.60153417350148;5
-835.7425762779452;298.27264314547034;3
375.3695651690699;-822.6096459135914;7
-142.07513035482918;-807.8710741509624;4
-135.20090344387197;80.11769602684012;5
-409.45617624432293;154.49214425851454;5
-362.0955344232141;940.5422208965085;2
-145.34597732700777;141.95018416439572;8
-10.740075547541407;1030.9725053217912;2
-197.97936515001877;139.75600054118922;8
-55.33885226506776;-841.6705246999059;9
476.3054553517894;-65.19596025536181;6
354.8214563992461;-734.5277936612935;4
203.06112048334575;720.3145934909442;2
-439.8725181491821;-325.0448240890805;4
-419.3366497982219;-559.9916479753396;9
404.49529886415854;719.379292773965;2
106.42993367296283;-535.4279795829885;9
242.9700550375515;-1026.1940837211107;9
84.642083092235;-506.1574727838676;9
36.3276288368107;-739.346132003969;7
202.94856119825477;564.5130037161248;8
-159.870350193372;-800.6091899940677;4
-788.8404809257008;67.76980770462846;1
-104.98184769249107;166.53601528139401;8
-306.45879934872886;64.22076581017092;8
-891.7326232438725;409.2805969214937;1
125.45255238504426;-787.0839462379431;9
0.10772581773188043;173.86984429728227;3
1244.0987284524454;-285.46345567002055;8
-592.4337001290946;-297.5602298230831;4
-218.73852262254343;304.12279040211934;6
298.3067686113639;21.185519849122397;6
-482.1840304467692;-470.647886556535;4
-497.0509413399787;-277.49818894688883;4
-576.299913702701;262.2396539502292;7
136.777926607074;75.3232076731243;2
-1030.9430064522185;527.9548742346858;1
-518.4871411394589;552.0123339873921;2
131.26183920554996;0.23500670305960317;8
-405.57427371734076;137.54660644321768;8
-463.74043891533665;135.3883743331291;2
-178.42612895790467;-511.51720284090555;7
1004.4703398988692;110.53716360114365;0
-52.82282325644185;-786.7531538560621;9
33.460053645161345;492.48300938937064;8
-198.02729953713018;-126.64296376823253;5
371.5131706637687;-558.4679172831038;4
-29.31996046743595;-567.5351155763867;9
343.45517699558707;-819.6758306910006;4
6.835000989523625;-718.7201340311112;4
182.12004478249784;306.391896256479;5
697.6646300109587;496.4300313268866;6
329.16522944036166;359.2190978545572;3
-818.0846356036486;602.3979257943997;1
-535.9579740131015;-134.81922617071618;3
-324.9124071548787;521.149682205332;8
-51.197886424034635;618.967435060825;8
51.453544535732874;-587.8636463603444;4
563.731851824207;-859.6305322487141;4
-486.37785662651225;185.3076458533962;3
-189.08133572982285;-814.640670283045;9
385.10453228953844;-687.208915854827;4
-494.8865674002894;-201.4223374376649;4
-248.0479049066183;-377.9471965741631;4
143.0414121414867;349.45841964752225;2
-131.11458464453747;-717.838657642051;7
-866.9209398694562;51.24558430594253;1
-204.37528273306307;-833.0178054939674;9
1261.4379098398788;331.09963848860855;0
1414.6331784321276;374.51873369117254;0
59.24534704287158;308.44054037074113;8
-251.17492124419994;332.98196628020713;8
-268.09024146555225;-848.3683878791727;9
1468.8945903349706;69.10501996167262;0
-18.720110670564836;-19.544874507028013;2
-953.462264110183;298.9385396321154;1
597.2961140343028;494.0095631079248;5
-456.60291332306747;851.1465243946203;8
50.876053577574396;356.07605367895576;2
9.129338030163954;-681.0304532108535;7
48.56830239894148;73.95972655159889;8
