dim1;dim2;people;pose;class
-0.4272660897456338;-0.37440954348548816;1;1;1
-0.3372035368422418;-0.7026254049391457;1;2;1
-0.44269900905832466;-0.3927557183972729;1;3;1
-0.41330288138661686;-0.40834856699477295;1;4;1
-0.42424158317259214;-0.5948554546458296;1;5;1
-0.3995307527877922;-0.3990538163021207;1;6;1
-0.408544068199084;-0.34308774284811056;1;7;1
-0.4419248782637897;-0.4327431141667997;1;8;1
-0.482766684145352;-0.4099088789861557;1;9;1
-0.4239080329751191;-0.6149355831447247;1;10;1
-0.41886091578279594;1.0517268726138158;2;1;2
-0.48934256820601146;1.0150625069115058;2;2;2
-0.4718329752468784;0.8428781401696537;2;3;2
-0.4842623706073802;1.153128354828336;2;4;2
-0.49792938544307763;0.9988550955571979;2;5;2
-0.4935090261622156;1.278524396960593;2;6;2
-0.45124701022288627;1.323956132259061;2;7;2
-0.45816937422652815;1.2985852836853509;2;8;2
-0.5071961343883815;1.2520966871531534;2;9;2
-0.44643542400462394;1.2658512711685888;2;10;2
-0.4321128436365893;-0.5434703336970615;3;1;3
-0.41602909539721206;-0.4963932783943853;3;2;3
-0.4161778878870781;-0.4104776136693279;3;3;3
0.08093903518136755;-0.3542528083648788;3;4;3
0.08506403474887556;-0.32924051890185935;3;5;3
-0.19399238781199604;-0.3995495314317097;3;6;3
-0.33215323127780094;-0.47478811482858985;3;7;3
-0.26692653839340114;-0.4309553682466782;3;8;3
-0.4797678927626202;-0.4872158586323937;3;9;3
-0.5086116221457625;-0.514667694519811;3;10;3
-0.34142415371504586;-0.46548962949885775;4;1;4
-0.3750046324256221;-0.32617393856198934;4;2;4
-0.24294387369301196;-0.5069394525963664;4;3;4
-0.5365437420903963;-0.3324888260680371;4;4;4
-0.5785594893373368;-0.3294212203404667;4;5;4
-0.2705541417319958;-0.3728563190477657;4;6;4
-0.4887813593133783;-0.35035754036990663;4;7;4
-0.29623273532867805;-0.43980930204091995;4;8;4
-0.3378167238888965;-0.05432913400996406;4;9;4
-0.5519367587313022;-0.28056639192391125;4;10;4
-0.4378444924858132;-0.5665349883045786;5;1;5
-0.47268491598765905;-0.5733373656675664;5;2;5
-0.4300905984972243;-0.6402910099311021;5;3;5
-0.43329221613730423;-0.5715944151088971;5;4;5
-0.48603827667545474;-0.469472238860036;5;5;5
-0.49689170047957687;-0.4911153533373348;5;6;5
-0.42465612028422356;-0.4796511509200587;5;7;5
-0.46789072673923826;-0.510200322210232;5;8;5
-0.4722425205355871;-0.49704982272927795;5;9;5
-0.5546124960084908;-0.48676978163396584;5;10;5
-0.6304615669484798;-0.5379687939697907;6;1;6
-0.6075691163850142;-0.5452910062743344;6;2;6
-0.6279067270029702;-0.5317500166616965;6;3;6
-0.6674325378780612;-0.5673890782102183;6;4;6
-0.6517086759398462;-0.5429177543764341;6;5;6
-0.6381181784288383;-0.5478612934094964;6;6;6
-0.634051764361423;-0.5266674031863751;6;7;6
-0.6434383938629391;-0.5441043943011139;6;8;6
-0.6259418961909735;-0.5126007264777804;6;9;6
-0.6782016317657847;-0.5681538025171555;6;10;6
-0.5124024881702948;2.233037380346005;7;1;7
-0.5161389049767641;1.761154400716339;7;2;7
-0.4630449826338231;0.18276344210445872;7;3;7
-0.46320872004223995;0.8532297848962728;7;4;7
-0.47829693598759904;1.5832590816970395;7;5;7
-0.4531334573993876;0.2206311927430429;7;6;7
-0.5571990567021131;1.7520556425256173;7;7;7
-0.5104669646621508;2.256418061118288;7;8;7
-0.4667147922064093;0.4679108379150887;7;9;7
-0.4272405626137462;1.2441334857894812;7;10;7
-0.4174978658759626;-1.0809661044345853;8;1;8
-0.38741944438012776;-1.2621687838343478;8;2;8
-0.4684249469230342;-0.3876369619635044;8;3;8
-0.37658825066389134;-0.7164150857107453;8;4;8
-0.44899511516513974;-0.5064664746228562;8;5;8
-0.45664768152634755;-0.38555364767857014;8;6;8
-0.4088088087706525;-0.7006708493490881;8;7;8
-0.4530424403261596;-0.1769565050190247;8;8;8
-0.37753865821927757;-0.4017367619657788;8;9;8
-0.39160818725134505;-0.6962283358093093;8;10;8
-0.47559153480056915;-0.8310601797087546;9;1;9
-0.4282694907011397;-0.8244782515030291;9;2;9
-0.46984760333952497;-0.8831523467860468;9;3;9
-0.4187533234379205;-0.6614641457836665;9;4;9
-0.4549173626772055;-0.7126328922734416;9;5;9
-0.2609221839576284;-0.553482252400696;9;6;9
-0.36799341607362523;-0.47573714484350405;9;7;9
-0.40265447600978554;-0.6264995141761047;9;8;9
-0.4158136294524722;-0.7113446597251796;9;9;9
-0.4587800178750455;-0.7040613272257048;9;10;9
-0.5056221944751358;-0.2482966348794384;10;1;10
-0.4698550580571503;-0.4202596165811967;10;2;10
-0.38464225856443257;-0.6993864431710538;10;3;10
