dim1;dim2;people;pose;class
-1876.7021036360059;182.62956823305456;1;1;1
-291.12228677045755;1747.4235320477148;1;2;1
-1720.8489517275066;398.56973897536415;1;3;1
-1392.8458818010715;-2762.459774064716;1;4;1
-2960.645900197925;843.4085389633136;1;5;1
-1592.7903207921474;-1711.0697747797003;1;6;1
-1739.7246088318825;22.52737234655984;1;7;1
-1695.4221776379;-1401.373581184556;1;8;1
-1859.2371884250547;-421.79543882669884;1;9;1
-519.0389032691065;534.451939795077;1;10;1
-307.4190567627085;255.41421357486442;2;1;2
-229.4408297776329;793.2546997692187;2;2;2
-154.1074500744791;661.8135802023401;2;3;2
97.31839599313761;989.2572271645156;2;4;2
-202.98120258988476;513.2040616473415;2;5;2
-36.85089814533688;1130.4144411734217;2;6;2
226.02367483704467;344.14860235843736;2;7;2
60.06965010544717;618.8166740971456;2;8;2
129.42145734709885;1571.3648382305576;2;9;2
-87.23890691539926;398.6267979173723;2;10;2
801.9031814742214;586.7492695172076;3;1;3
847.4175557237469;816.2670388547108;3;2;3
778.5074604201898;842.5984549903594;3;3;3
646.5368737706845;-683.0811864246542;3;4;3
410.75793713314874;-3209.6489730253893;3;5;3
-133.34051449942936;-359.8642512100096;3;6;3
-670.0875631286689;-1594.2887724470918;3;7;3
-467.04247228284373;-1557.907807955668;3;8;3
-999.3401807324215;135.21653134340454;3;9;3
-835.0009840367687;346.03744857586634;3;10;3
-88.77424794819949;-152.44883746910514;4;1;4
136.59337056337682;638.602560021565;4;2;4
72.19212413833905;-520.977630630583;4;3;4
-1183.982773604367;300.48920176042503;4;4;4
-747.8506816203435;865.3138045494342;4;5;4
-1154.8206889659132;-1549.3393922568582;4;6;4
-1311.4661218443482;-146.1572378014015;4;7;4
-159.35182996550287;-391.8716879365979;4;8;4
288.38512726192903;420.4564602278788;4;9;4
-440.29570781718166;1505.421980536712;4;10;4
-188.84570808010645;-134.66799129044597;5;1;5
261.4915729606451;658.3250888114065;5;2;5
725.0501313822972;791.7660831151477;5;3;5
-169.9457455247776;-168.81761922234503;5;4;5
-1350.0346562142447;-1548.3257984272782;5;5;5
-926.2005548874924;-1384.99773021873;5;6;5
-369.6289793381551;-330.41191833939456;5;7;5
-513.1297427086341;-898.6351601976779;5;8;5
-1373.411663443442;-1149.2828418922597;5;9;5
