dim1;dim2;people;pose;class
1.8319955799419179;-12.49689976231373;1;1;1
8.304333362323169;-9.017792580238202;1;2;1
2.234785913053145;-12.219783314882077;1;3;1
-6.100536000552022;-8.752246965480316;1;4;1
7.005822442079541;-8.832998027305308;1;5;1
-5.2956823116565515;-9.467258304209357;1;6;1
1.017562599538624;-13.309734984362883;1;7;1
-0.27974383751611487;-10.765700697573644;1;8;1
0.6243038175022655;-12.967167374528787;1;9;1
7.207533724990367;-8.719493825798018;1;10;1
13.874337247830889;-5.370492966336876;2;1;2
14.704463300015162;-6.784489911291207;2;2;2
14.343735189837382;-6.244561757908718;2;3;2
15.010468822206812;-6.177977300461683;2;4;2
14.309523676017166;-7.293877279796964;2;5;2
15.492497422150542;-6.3920554945899015;2;6;2
14.131078891980643;-4.5402535426952975;2;7;2
14.414563920443644;-5.174404735364843;2;8;2
15.551294993567966;-6.573555156777013;2;9;2
14.150950030592828;-4.8768592145461165;2;10;2
4.8763378354159945;5.627752769064579;3;1;3
5.999856920111452;5.48635556231176;3;2;3
6.1469110306467;5.42578869238517;3;3;3
4.66890312140845;13.991853665356743;3;4;3
4.6532256586130405;14.017553004353866;3;5;3
-4.029622124819929;3.9759254839761207;3;6;3
-3.0885725355712657;-5.535655632639342;3;7;3
-3.5529546512428287;-5.636840450819718;3;8;3
4.327866622160512;-5.354582738733443;3;9;3
4.383170816568295;-5.456729050831497;3;10;3
6.42891881095484;-1.5076493186836997;4;1;4
5.951697410697044;-3.4316941516044097;4;2;4
6.476633581115367;-1.048719043822371;4;3;4
2.529534453603626;-7.005300865119394;4;4;4
3.1814172511463292;-7.013673985858235;4;5;4
-4.2123698982890545;-7.93172638959317;4;6;4
1.8241747729248778;-6.438313682255343;4;7;4
6.440654008548597;-1.4388362095504068;4;8;4
6.217353795690461;-3.364419500905232;4;9;4
5.48724637810099;-7.065117444217883;4;10;4
0.9125689087254789;-2.0820939503253095;5;1;5
3.2205177357097146;4.640880579796249;5;2;5
3.2619390887781363;4.806817195706012;5;3;5
0.9132374377870803;-2.144424877836927;5;4;5
-4.987659678103866;-5.019786643346185;5;5;5
-4.851215596386175;-4.62791504305899;5;6;5
0.746981161899807;-2.8671808532797236;5;7;5
-4.640657816876153;-3.7845119970922974;5;8;5
-4.544181229662035;-4.463727828647092;5;9;5
-2.861040895725898;-9.907006211238855;5;10;5
-1.5932271605167756;-12.84153353868286;6;1;6
-1.5808898862871745;-12.81808643255903;6;2;6
-1.685891590454725;-12.8926153937073;6;3;6
-3.8251043347781097;-13.678678720427264;6;4;6
-4.427075935441515;-13.246070162080773;6;5;6
-4.125648961635032;-14.096448568451095;6;6;6
-4.778662775456196;-13.118047110323129;6;7;6
-3.3932850709066407;-14.151241781596525;6;8;6
-4.827370627952976;-12.681630244380749;6;9;6
-3.9570591708206826;-13.408408536927519;6;10;6
-11.325758016979895;-12.743136865309662;7;1;7
-12.092507948443183;-12.913736446965402;7;2;7
-6.482479871941985;-17.599999695278758;7;3;7
-10.438429842330324;-11.684706086945088;7;4;7
-10.60104014640864;-12.196951455904372;7;5;7
-6.500391578275775;-17.62611216386085;7;6;7
-10.056557405884952;-12.962357041700253;7;7;7
-10.909999392719923;-12.845165124853846;7;8;7
-6.463390698204432;-17.564234142630795;7;9;7
-11.831705773385732;-13.501025841888213;7;10;7
-1.8088788771744502;-19.616187331384438;8;1;8
-1.7964527504679282;-19.615774303697034;8;2;8
-1.658975146810593;-17.369105042554228;8;3;8
10.085003048225044;-8.637364783694206;8;4;8
-1.4266777174580665;-17.0756550070632;8;5;8
-0.9514241787999989;-16.366781274978155;8;6;8
9.826523686606306;-9.025985179674024;8;7;8
-1.5909780793705761;-17.316511949436826;8;8;8
-4.922256503529054;-10.115228848130776;8;9;8
9.445046942947332;-9.008827424109835;8;10;8
0.25403713904263714;6.872494103259941;9;1;9
1.4040554323585515;6.624797382777082;9;2;9
0.5080672069496539;6.887637724471417;9;3;9
-1.5813153718965494;-0.6594358967610058;9;4;9
-1.5211416793951362;-0.3187827882937849;9;5;9
-2.0930563778614926;-1.7113626686041117;9;6;9
-1.8386289977117793;-2.4861116435167756;9;7;9
-1.6183387031284762;-1.265435440791767;9;8;9
-1.4034534292118113;0.43879895836476007;9;9;9
-0.12686889688293437;0.49327462960363205;9;10;9
8.727476860723481;-4.180953750821996;10;1;10
8.70902750603896;-4.371707465938844;10;2;10
10.253066944921207;-6.764753017973753;10;3;10
10.276790630878756;-6.779841346747537;10;4;10
7.626989331868573;-5.395941786110478;10;5;10
7.719565259832574;-6.159262498717211;10;6;10
7.852061422371663;-6.643395033273717;10;7;10
7.868605155552289;-4.998060429055018;10;8;10
-5.842810079153775;-7.114148383165804;10;9;10
-0.5616466616899288;-15.782714103125054;10;10;10
-16.765177109170565;-8.35733513126005;11;1;11
-16.688320318259827;-9.05651417097896;11;2;11
-16.735242724439637;-9.010845357919761;11;3;11
-17.913162746217658;-7.57957979332856;11;4;11
-18.21713331159092;-10.29491520929785;11;5;11
-17.058169748000857;-9.22965539111352;11;6;11
-17.987637957521084;-9.146543390737632;11;7;11
-18.179163233725202;-9.800175978380851;11;8;11
-18.102076612718957;-7.513769871726888;11;9;11
-17.320804540440527;-8.611370556335089;11;10;11
-3.928251682173865;-0.10070083191680984;12;1;12
-2.8527722219526943;7.677910933133097;12;2;12
-3.426473250137386;8.041769541862823;12;3;12
-1.7109794037088308;6.994871402279438;12;4;12
-2.5304804979402595;7.480036704325713;12;5;12
-1.1116009175009485;-7.583393486486696;12;6;12
-2.4508808883814854;7.47497549969438;12;7;12
